id,name,age,role,experience_years,tech_savvy,stress_tolerance,shift,outlook,openness,conscientiousness,extraversion,agreeableness,neuroticism,learning_style,region,education,gender,prior_tech_experience,prior_change_experience,"On a scale of 1-5, how easy is it to understand the new dashboard?_original_score","On a scale of 1-5, how easy is it to understand the new dashboard?_original_raw","On a scale of 1-5, how comfortable do you feel using the new system?_original_score","On a scale of 1-5, how comfortable do you feel using the new system?_original_raw","On a scale of 1-5, how much do you think the new environment reduces your workload?_original_score","On a scale of 1-5, how much do you think the new environment reduces your workload?_original_raw","On a scale of 1-5, how likely are you to recommend this new setup to a colleague?_original_score","On a scale of 1-5, how likely are you to recommend this new setup to a colleague?_original_raw","On a scale of 1-5, how easy is it to understand the new dashboard?_new_score","On a scale of 1-5, how easy is it to understand the new dashboard?_new_raw","On a scale of 1-5, how comfortable do you feel using the new system?_new_score","On a scale of 1-5, how comfortable do you feel using the new system?_new_raw","On a scale of 1-5, how much do you think the new environment reduces your workload?_new_score","On a scale of 1-5, how much do you think the new environment reduces your workload?_new_raw","On a scale of 1-5, how likely are you to recommend this new setup to a colleague?_new_score","On a scale of 1-5, how likely are you to recommend this new setup to a colleague?_new_raw"
10,Persona_10,35,Supervisor,3,Low,High,Night,optimistic,5,2,2,4,5,Auditory,Asia,PhD,Other,13,None,3,I would rate the ease of understanding the new dashboard as a 3.,3,"I would rate my comfort level at a 3. This is a new system for me, and while I am optimistic about learning and adapting to it, I may need some time to familiarize myself with it.",2.0,I would rate the new environment as a 2 in terms of reducing my workload.,3,I would rate my likelihood to recommend this new setup to a colleague as a 3.,1,"On a scale of 1-5, I would rate the ease of understanding the new dashboard as a 4.",2,"Given my prior experience with technology and change, I would rate my comfort level using the new system at a 2.",4,"I would rate the new environment a 4 in terms of reducing my workload. The automation and real-time tracking capabilities would greatly streamline tasks and eliminate the need for manual record-keeping, reducing the cognitive load on the operator.",4,"Considering my optimistic outlook and the potential benefits of the new setup in terms of efficiency and reducing manual tasks, I would rate my likelihood to recommend this new setup to a colleague as a 4."
11,Persona_11,54,Supervisor,23,Low,High,Night,neutral,3,4,5,4,1,Auditory,Europe,High School,Female,0,Extensive,4,"Since I have no prior tech experience, I would rate my ease of understanding the new dashboard as a 2.",4,I would rate my comfort level at a 2.,4.0,I would rate the new environment as a 2 on reducing my workload.,5,I would rate my likelihood of recommending this new setup to a colleague as a 3.,5,3,5,4,5,"I would rate the new environment a 5 in reducing my workload, given the automation and real-time tracking features that eliminate manual record-keeping and reduce the need for constant context-switching and repetitive data entry tasks.",5,"Given my extensive prior experience and the benefits of the new setup, I would rate my likelihood to recommend this new setup to a colleague as a 5."
12,Persona_12,55,Operator,19,Low,Low,Day,pessimistic,1,2,1,1,3,Visual,Africa,Associate Degree,Female,21,Some,1,"Considering my prior experience with technology and change, I would rate the ease of understanding the new dashboard as a 3.",1,I would rate my comfort level using the new system as a 2.,1.0,I would rate the new environment a 3 in terms of reducing my workload.,1,"I would visualize my likelihood to recommend this new setup to a colleague as a 2 on a scale of 1-5, with 1 being very unlikely and 5 being very likely.",1,"Given my prior experience and low tech-savviness, I would rate the ease of understanding the new dashboard as a 3.",1,"Considering my pessimistic outlook, I would rate my comfort level with using the new system as a 2.",1,I would rate the new environment as a 4 in terms of reducing my workload.,1,I would rate my likelihood to recommend this new setup to a colleague as 2 on a scale of 1-5.
13,Persona_13,33,Supervisor,5,High,High,Night,optimistic,4,4,2,1,1,Reading/Writing,Asia,Master's,Female,14,Extensive,5,"Given my extensive prior experience and tech-savviness, I would rate the ease of understanding the new dashboard as a 4.",5,"Given my high tech-savviness and experience, I would rate my comfort level at a 4. I am optimistic about adapting to the new system efficiently and effectively.",4.0,"I would rate the new environment as a 2 in terms of reducing my workload. While some tasks remain manual and require significant hands-on involvement, the centralization of scheduling, maintenance logs, and inventory counts in a spreadsheet could potentially streamline record-keeping processes, reducing the need for constant context-switching and repetitive data entry. However, the overall workflow and process of operating the 3D printers themselves",5,"Given the description of the new setup, I would rate my likelihood of recommending it to a colleague as a 3.",5,"Given my tech-savviness and optimism, I would rate the new dashboard a 5 in terms of ease of understanding. The technological advancements and user-friendly design would likely align well with my skills and positive outlook.",5,"Given my tech-savviness and optimism, I would rate my comfort level using the new system as a 5.",3,"On a scale of 1-5, I would rate the new environment a 5 in reducing my workload.",3,"I would rate my likelihood to recommend this new setup to a colleague as a 5. The improvements in efficiency, ease of use, and streamlined processes make it a valuable upgrade that I believe would benefit my colleagues as well."
14,Persona_14,23,Supervisor,21,High,Low,Day,neutral,3,1,2,2,2,Reading/Writing,Europe,Master's,Male,8,Some,3,I would rate it as a 3.,4,I would rate my comfort level at a 4.,2.0,"I would rate the new environment as a 2 on reducing my workload. Although some tasks remain the same, such as manually loading filament, starting print jobs, and post-processing, the manual spreadsheet recording at the end of each shift may have been simplified or streamlined, potentially reducing the overall workload slightly.",3,I would rate my likelihood to recommend this new setup to a colleague as a 3.,4,4,3,"Given my neutral outlook and general comfort with technology, I would rate my comfort level using the new system at a 3.",1,"On a scale of 1-5, I would rate it a 4.",1,"On a scale of 1-5, I would rate my likelihood to recommend this new setup to a colleague as a 4."
15,Persona_15,35,Operator,15,High,Low,Day,pessimistic,5,1,1,2,2,Reading/Writing,South America,Master's,Male,27,Some,2,"Given my pessimistic outlook, I would rate the ease of understanding the new dashboard as a 3 out of 5.",2,"Given my prior experience and familiarity with similar tasks, I would rate my comfort level with the new system as a 3 out of 5.",1.0,I would rate the new environment a 2 on reducing my workload.,1,I would rate my likelihood to recommend this new setup to a colleague as a 2.,2,3,1,2,1,"On a scale of 1-5, I would rate the new environment as a 4 in terms of reducing my workload.",1,"Given my pessimistic outlook, on a scale of 1-5, I would rate my likelihood to recommend this new setup to a colleague as a 2."
16,Persona_16,23,Operator,13,Low,Medium,Night,neutral,3,4,5,4,2,Auditory,Asia,Associate Degree,Male,18,Extensive,5,"Given my prior experience and tech-savviness level, I would rate the ease of understanding the new dashboard as a 4.",5,I would rate my comfort level at a 3.,4.0,"I would rate the new environment as a 2 on the scale. While some tasks like scheduling, maintenance logs, and inventory counts are still being recorded in a spreadsheet, the manual processes for operating the printers, handling failed prints, and post-processing tasks remain the same. The reduction in workload is minimal.",5,I would rate my likelihood to recommend this new setup to a colleague as a 3.,5,"Given my extensive prior experience and familiarity with technological systems, I would rate the ease of understanding the new dashboard as a 5.",5,"Given the advanced features and intuitive design of the new system in the changed work environment, I would rate my comfort level at a 5.",5,I would rate the new environment a 4 in reducing my workload.,5,"Given my neutral outlook, I would rate my likelihood of recommending this new setup to a colleague as a 3."
17,Persona_17,54,Operator,24,Medium,Low,Day,pessimistic,4,5,5,2,1,Visual,Europe,High School,Other,2,Extensive,4,"Given my pessimistic outlook, I would rate the ease of understanding the new dashboard as a 3.",5,"Given my extensive prior experience, I would rate my comfort level at a 4 out of 5 in using the new system.",5.0,I would rate the reduction in workload in the new environment as a 4. The introduction of the technician to handle printer errors and maintenance tasks should significantly reduce the manual workload on the operators and streamline the printing process.,4,I would rate my likelihood of recommending this new setup to a colleague as a 3.,5,4,4,"Considering my pessimistic outlook, I would rate my comfort level using the new system at a 3.",5,"I would rate the reduction in workload in the new environment a 5. The streamlined processes, real-time updates, and visual tracking significantly cut down on manual tasks and mental effort, making my job much more efficient and less demanding.",2,"Considering my pessimistic outlook, on a scale of 1-5, I would rate my likelihood to recommend this new setup to a colleague as a 3."
18,Persona_18,35,Technician,4,High,Low,Day,pessimistic,1,4,5,5,5,Kinesthetic,Asia,Associate Degree,Other,22,Some,1,"I would rate the ease of understanding the new dashboard as a 3, considering my prior experience with similar tasks.",1,3,1.0,"I would rate the new environment a 3 on reducing my workload. While the core tasks remain the same, the use of onboard touchscreens and potentially automated notifications for errors may help streamline some processes. However, the overall manual nature of the tasks still requires significant hands-on involvement.",1,I would rate my likelihood to recommend this new setup to a colleague as a 2.,1,1,1,"Considering my pessimistic outlook and preference for familiarity, I would rate my comfort level using the new system as a 2.",1,1,1,"Given my prior experience and some familiarity with change, I would rate my likelihood of recommending this new setup to a colleague as a 3."
19,Persona_19,35,Technician,13,Low,High,Night,neutral,3,1,1,4,5,Visual,North America,PhD,Male,16,Some,1,"Given my prior experience and some exposure to change, I would rate the ease of understanding the new dashboard as a 3 on a scale of 1-5.",1,I would rate my comfort level as a 2 out of 5 on using the new system.,1.0,I would rate the new environment as a 2 in terms of reducing my workload.,1,I would rate my likelihood to recommend this new setup to a colleague as a 3.,1,"Unfortunately, I am unable to visualize the scale for this question due to my low tech-savviness. However, I would rate the ease of understanding the new dashboard as a 3 out of 5.",1,1,1,"On a scale of 1-5, I would rate the new environment a 5 in terms of reducing my workload.",3,"Visualizing the scale from 1 to 5, I would rate my likelihood to recommend this new setup to a colleague as a 3."
20,Persona_20,28,Technician,29,Low,Low,Night,neutral,2,4,5,3,5,Visual,Oceania,PhD,Female,29,Extensive,3,I would rate the ease of understanding the new dashboard as a 3.,4,I would rate my comfort level using the new system at a 4.,2.0,"I would rate the new environment as a 2 in terms of reducing my workload. While some tasks like scheduling, maintenance logs, and inventory counts being recorded in a spreadsheet might have become more streamlined, the core tasks of monitoring the printers, troubleshooting issues, and post-processing remain largely manual and unchanged.",3,I would rate my likelihood of recommending this new setup to a colleague as a 3 out of 5.,4,"Given my extensive experience, I would rate the ease of understanding the new dashboard as a 4.",4,I would rate my comfort level using the new system as a 4.,4,I would rate the reduction in workload in the new environment as a 4 out of 5.,1,"On a scale of 1-5, I would rate my likelihood to recommend this new setup to a colleague as a 4. My extensive prior experience gives me the perspective to see the value and efficiency gains that this new environment offers, and I believe it could greatly benefit my colleagues as well."
21,Persona_21,26,Operator,9,Low,Low,Day,neutral,3,5,2,3,2,Kinesthetic,Africa,Master's,Female,28,None,2,"Given my prior experience, I would rate the ease of understanding the new dashboard as a 2.",2,I would rate my comfort level at a 2.,2.0,"Given the description provided, I would rate the reduction in workload in the new environment as a 2.",3,"Given my lack of prior change experience and unfamiliarity with this new setup, I would rate my likelihood to recommend it to a colleague as a 3. I would need more time to fully understand the changes before confidently recommending it to someone else.",2,2,2,"Given my lack of prior experience with such advanced technology, I would rate my comfort level at a 2 out of 5.",4,"Given my kinesthetic learning style and prior experience, I believe that this new environment would significantly reduce my workload. I would rate it a 4 out of 5 in terms of workload reduction.",1,"On a scale of 1-5, I would rate my likelihood to recommend this new setup to a colleague as a 3."
22,Persona_22,25,Supervisor,14,Medium,Low,Day,neutral,2,3,2,4,5,Reading/Writing,Africa,High School,Male,2,Extensive,1,"Given my neutral outlook and moderate tech-savviness, I would rate the ease of understanding the new dashboard as a 3.",1,I would rate my comfort level using the new system as a 3.,1.0,"I would rate the new environment as a 2 in terms of reducing my workload. While some tasks like scheduling, maintenance logs, and inventory counts are still being done manually, the overall process seems to have remained largely the same with manual interventions required for various steps in the printing process.",1,I would rate my likelihood of recommending this new setup to a colleague as a 3.,2,4,2,"Given my prior experience and familiarity with technology, I would rate my comfort level using the new system as a 4.",1,3,1,"Considering my neutral outlook, I would rate my likelihood to recommend this new setup to a colleague as a 3 out of 5."
23,Persona_23,29,Supervisor,2,Medium,High,Day,neutral,2,1,3,3,1,Kinesthetic,Europe,Associate Degree,Other,3,Some,2,"As there is no mention of a new dashboard in the changed work environment, I would rate the ease of understanding it as a 1, non-existent.",4,I would rate my comfort level at a 3.,4.0,I would rate the reduction in workload in the new environment as a 3.,4,I would rate this new setup a 3 out of 5 for recommending to a colleague.,5,"Based on the provided information about the new AR system, I would rate the ease of understanding the new dashboard as a 4.",4,I would rate my comfort level using the new system as a 3.,5,I would rate the new environment as a 5 in terms of reducing my workload.,5,I would rate my likelihood to recommend this new setup to a colleague as a 4.
24,Persona_24,55,Technician,20,High,Low,Day,optimistic,2,4,1,2,3,Reading/Writing,Oceania,Associate Degree,Female,5,Extensive,3,"I believe I would rate the ease of understanding the new dashboard as a 3. While I am optimistic about my ability to adapt and learn, I recognize that any new system or dashboard may initially present some challenges that require time to fully comprehend.",4,"Given my prior experience with similar systems, I would rate my comfort level at a 4.",2.0,"I would rate the new environment as a 2 in terms of reducing my workload. While some tasks may have been streamlined or optimized, it appears that the core processes and responsibilities remain similar to my previous work environment.",3,"I would rate my likelihood of recommending this new setup to a colleague as a 3. While the system seems to be functioning adequately for the current operations, there may be opportunities for improvement that could enhance efficiency and reduce the repetitive tasks involved in data entry and maintenance logs.",4,4,4,"Given my extensive prior experience and tech-savviness, I would rate my comfort level using the new system as a 4.",1,"On a scale of 1-5, I would rate the new environment as a 4 in terms of reducing my workload. The automation and real-time tracking features significantly streamline operations and eliminate the need for manual record-keeping, which should free up more time for other tasks.",4,I would rate my likelihood of recommending this new setup to a colleague as a 4.
